==16702== NVPROF is profiling process 16702, command: ./matrixMul
==16702== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==16702== Profiling application: ./matrixMul
==16702== Profiling result:
==16702== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",7.753450GB/s,9.782278GB/s,9.534881GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_read_throughput","L2 Throughput (Reads)",155.214372GB/s,195.703521GB/s,190.810300GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_write_throughput","L2 Throughput (Writes)",7.757387GB/s,9.787246GB/s,9.539537GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sysmem_write_throughput","System Memory Write Throughput",1.550690MB/s,1.956455MB/s,976.562500KB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_load_throughput","Shared Memory Load Throughput",3721.655869GB/s,4695.493608GB/s,4576.990381GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_store_throughput","Shared Memory Store Throughput",155.068995GB/s,195.645567GB/s,190.706924GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"tex_cache_transactions","Unified Cache Transactions",512000,512000,512000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_sp","Floating Point Operations(Single Precision)",131072000,131072000,131072000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",65536000,65536000,65536000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_executed","Instructions Executed",6176000,6176000,6176000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_issued","Instructions Issued",6181376,6181376,6181376
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.960183%,3.330542%,3.127212%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",48.092761%,49.479012%,48.766767%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_memory_dependency","Issue Stall Reasons (Data Request)",8.067500%,9.507640%,8.793792%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_sync","Issue Stall Reasons (Synchronization)",13.963045%,15.080145%,14.454610%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_other","Issue Stall Reasons (Other)",19.344596%,20.408968%,19.900586%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.376435%,0.580559%,0.420098%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",2.711983%,3.356529%,3.081002%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_efficiency","Shared Memory Efficiency",132.000000%,132.000000%,132.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_fp_32","FP Instructions(Single)",65536000,65536000,65536000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_integer","Integer Instructions",32768000,32768000,32768000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_control","Control-Flow Instructions",2048000,2048000,2048000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_compute_ld_st","Load/Store Instructions",90316800,90316800,90316800
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_misc","Misc Instructions",6553600,6553600,6553600
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"issue_slots","Issue Slots",4041984,4041984,4041984
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"cf_issued","Issued Control-Flow Instructions",76800,76800,76800
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"cf_executed","Executed Control-Flow Instructions",76800,76800,76800
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ldst_issued","Issued Load/Store Instructions",3398400,3398400,3398400
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ldst_executed","Executed Load/Store Instructions",2995200,2995200,2995200
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",512000,512000,512000
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.071724%,0.077843%,0.074847%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"stall_not_selected","Issue Stall Reasons (Not Selected)",1.328223%,1.448159%,1.381086%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",25600,25600,25600
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_hp_add","Floating Point Operations(Half Precision Add)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_hp_mul","Floating Point Operation(Half Precision Mul)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_count_hp_fma","Floating Point Operations(Half Precision FMA)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"inst_fp_16","HP Instructions(Half)",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"sm_activity","Multiprocessor Activity",85.552037%,88.773329%,87.266877%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"achieved_occupancy","Achieved Occupancy",0.927360,0.943526,0.935178
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"executed_ipc","Executed IPC",1.617334,1.658302,1.641368
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"issued_ipc","Issued IPC",1.619791,1.659346,1.642367
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"issue_slot_utilization","Issue Slot Utilization",26.479414%,27.126048%,26.848470%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",1.858466,1.907104,1.881896
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"shared_utilization","Shared Memory Utilization","High (7)","High (8)","High (7)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ldst_fu_utilization","Load/Store Function Unit Utilization","Mid (4)","Mid (4)","Mid (4)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (3)","Low (3)","Low (3)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",11.585891%,12.157636%,11.873746%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"dram_read_transactions","Device Memory Read Transactions",11291,13091,11963
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"dram_write_transactions","Device Memory Write Transactions",20314,29296,25956
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"dram_read_throughput","Device Memory Read Throughput",3.618547GB/s,4.932952GB/s,4.455447GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"dram_write_throughput","Device Memory Write Throughput",6.270065GB/s,10.599327GB/s,9.667128GB/s
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ecc_transactions","ECC Transactions",0,0,0
"GeForce GTX 1080 Ti (0)","void matrixMulCUDA<int=32>(float*, float*, float*, int, int)",301,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
